id,filename,source,category,category_conf,subcategory,subcategory_conf,neckline,neckline_conf,sleeve_length,sleeve_length_conf,length_type,length_conf,fit,fit_conf,silhouette,silhouette_conf,fabric_type,fabric_conf,pattern,pattern_confidence,pattern_scale,style_tags,style_confidence,formality,formality_conf,season,season_conf,tradition,tradition_conf,gender_target,gender_conf,dominant_color_hex,dominant_color_name,dominant_color_h,dominant_color_s,dominant_color_v,secondary_colors,colorfulness_score,brightness_score,emb_index,width_px,height_px,bbox_garment,created_at
custom_000,/Users/mishtyverma/closet-twin-style-3/backend/recommendation_system/data/output/organized/Dress/Cocktail Dress/Screenshot 2025-09-20 at 1.13.49 PM.png,custom_wardrobe,dress,1.0,cocktail_dress,1.0,sweetheart,1.0,sleeveless,1.0,mini,1.0,unknown,1.0,bodycon,1.0,unknown,1.0,solid,1.0,medium,"[""party"", ""elegant""]","[1.0, 1.0]",formal,1.0,all_season,1.0,western,1.0,women,1.0,#ffffff,white,0,0,100,[],0.0,1.0,-1,518,1114,,2025-09-21T12:35:26.452820
custom_001,/Users/mishtyverma/closet-twin-style-3/backend/recommendation_system/data/output/organized/Top/Camisole/Screenshot 2025-09-20 at 12.51.28 PM.png,custom_wardrobe,top,1.0,camisole,1.0,sweetheart,1.0,sleeveless,1.0,unknown,1.0,unknown,1.0,unknown,1.0,unknown,1.0,solid,1.0,medium,"[""casual"", ""girly""]","[1.0, 1.0]",casual,1.0,all_season,1.0,western,1.0,women,1.0,#ffffff,white,0,0,100,[],0.0,1.0,-1,858,1184,,2025-09-21T12:35:26.453148
custom_002,/Users/mishtyverma/closet-twin-style-3/backend/recommendation_system/data/output/organized/Bag/Tote/Screenshot 2025-09-20 at 1.40.34 PM.png,custom_wardrobe,bag,1.0,tote,1.0,unknown,1.0,unknown,1.0,unknown,1.0,unknown,1.0,unknown,1.0,unknown,1.0,solid,1.0,medium,"[""casual"", ""practical""]","[1.0, 1.0]",casual,1.0,all_season,1.0,western,1.0,women,1.0,#ffffff,white,0,0,100,[],0.0,1.0,-1,1220,1158,,2025-09-21T12:35:26.453353
custom_003,/Users/mishtyverma/closet-twin-style-3/backend/recommendation_system/data/output/organized/Accessories/Belts/Screenshot 2025-09-20 at 1.46.50 PM.png,custom_wardrobe,accessories,1.0,belts,1.0,unknown,1.0,unknown,1.0,unknown,1.0,unknown,1.0,unknown,1.0,unknown,1.0,solid,1.0,medium,"[""edgy"", ""classic""]","[1.0, 1.0]",casual,1.0,all_season,1.0,western,1.0,women,1.0,#ffffff,white,0,0,100,[],0.0,1.0,-1,1232,1228,,2025-09-21T12:35:26.453570
custom_004,/Users/mishtyverma/closet-twin-style-3/backend/recommendation_system/data/output/organized/Bag/Bucket Bag/Screenshot 2025-09-20 at 1.42.33 PM.png,custom_wardrobe,bag,1.0,bucket_bag,1.0,unknown,1.0,unknown,1.0,unknown,1.0,unknown,1.0,unknown,1.0,unknown,1.0,solid,1.0,medium,"[""casual"", ""trendy""]","[1.0, 1.0]",casual,1.0,all_season,1.0,western,1.0,women,1.0,#ffffff,white,0,0,100,[],0.0,1.0,-1,1066,1228,,2025-09-21T12:35:26.453791
custom_005,/Users/mishtyverma/closet-twin-style-3/backend/recommendation_system/data/output/organized/Dress/Cocktail Dress/Screenshot 2025-09-20 at 1.07.22 PM.png,custom_wardrobe,dress,1.0,cocktail_dress,1.0,sweetheart,1.0,sleeveless,1.0,mini,1.0,unknown,1.0,bodycon,1.0,unknown,1.0,solid,1.0,medium,"[""party"", ""elegant""]","[1.0, 1.0]",formal,1.0,all_season,1.0,western,1.0,women,1.0,#ffffff,white,0,0,100,[],0.0,1.0,-1,820,1270,,2025-09-21T12:35:26.454315
custom_006,/Users/mishtyverma/closet-twin-style-3/backend/recommendation_system/data/output/organized/Bottom/Jeans/Screenshot 2025-09-20 at 12.56.36 PM.png,custom_wardrobe,bottom,1.0,jeans,1.0,unknown,1.0,unknown,1.0,unknown,1.0,relaxed,1.0,unknown,1.0,unknown,1.0,solid,1.0,medium,"[""casual"", ""denim""]","[1.0, 1.0]",casual,1.0,all_season,1.0,western,1.0,women,1.0,#ffffff,white,0,0,100,[],0.0,1.0,-1,620,1208,,2025-09-21T12:35:26.454574
custom_007,/Users/mishtyverma/closet-twin-style-3/backend/recommendation_system/data/output/organized/Dress/Cocktail Dress/Screenshot 2025-09-20 at 1.18.25 PM.png,custom_wardrobe,dress,1.0,cocktail_dress,1.0,sweetheart,1.0,sleeveless,1.0,mini,1.0,unknown,1.0,bodycon,1.0,unknown,1.0,solid,1.0,medium,"[""party"", ""elegant""]","[1.0, 1.0]",formal,1.0,all_season,1.0,western,1.0,women,1.0,#ffffff,white,0,0,100,[],0.0,1.0,-1,1116,1226,,2025-09-21T12:35:26.454844
custom_008,/Users/mishtyverma/closet-twin-style-3/backend/recommendation_system/data/output/organized/Accessories/Bracelets/Screenshot 2025-09-20 at 1.35.26 PM.png,custom_wardrobe,accessories,1.0,bracelets,1.0,unknown,1.0,unknown,1.0,unknown,1.0,unknown,1.0,unknown,1.0,unknown,1.0,solid,1.0,medium,"[""girly"", ""elegant""]","[1.0, 1.0]",casual,1.0,all_season,1.0,western,1.0,women,1.0,#ffffff,white,0,0,100,[],0.0,1.0,-1,1220,1158,,2025-09-21T12:35:26.455118
custom_009,/Users/mishtyverma/closet-twin-style-3/backend/recommendation_system/data/output/organized/Bottom/Jeans/Screenshot 2025-09-20 at 12.56.48 PM.png,custom_wardrobe,bottom,1.0,jeans,1.0,unknown,1.0,unknown,1.0,unknown,1.0,relaxed,1.0,unknown,1.0,unknown,1.0,solid,1.0,medium,"[""casual"", ""denim""]","[1.0, 1.0]",casual,1.0,all_season,1.0,western,1.0,women,1.0,#ffffff,white,0,0,100,[],0.0,1.0,-1,620,1208,,2025-09-21T12:35:26.455323
